Test set: Average loss: 0.0722, Accuracy: 9/16 (56%)

Model from 1 epoch is savedTest set: Average loss: 0.0738, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0734, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0737, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0732, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0730, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0733, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0738, Accuracy: 6/16 (38%)

Test set: Average loss: 0.0740, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0731, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0730, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0730, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0732, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0732, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0730, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0730, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0740, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0732, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0729, Accuracy: 10/16 (62%)

Test set: Average loss: 0.0737, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0730, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0731, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0730, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0730, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0726, Accuracy: 9/16 (56%)

Test set: Average loss: 0.0735, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0743, Accuracy: 7/16 (44%)

Test set: Average loss: 0.0735, Accuracy: 8/16 (50%)

Test set: Average loss: 0.0728, Accuracy: 9/16 (56%)

Test set: Average loss: 0.0734, Accuracy: 7/16 (44%)

